,Date,Open_snp,High_snp,Low_snp,Close_snp,Volume_snp,Name_snp
558,2014-10-31,153.83,154.44,153.09,153.77,3016319.0,MMM
559,2014-11-03,153.14,154.39,152.98,153.3,2376427.0,MMM
560,2014-11-04,153.92,155.23,153.24,155.05,3128619.0,MMM
561,2014-11-05,155.68,156.24,154.14,155.69,2770390.0,MMM
562,2014-11-06,155.69,156.68,155.21,156.05,2067172.0,MMM
563,2014-11-07,156.15,156.62,155.48,156.55,1882753.0,MMM
564,2014-11-10,156.25,157.71,156.05,157.66,1463470.0,MMM
565,2014-11-11,157.95,158.0,156.65,157.11,1812026.0,MMM
566,2014-11-12,156.65,157.87,156.5,157.68,1500707.0,MMM
567,2014-11-13,158.0,159.07,157.48,158.35,2375052.0,MMM
568,2014-11-14,158.53,158.88,157.71,158.85,1786283.0,MMM
569,2014-11-17,158.09,159.16,158.09,158.69,1674303.0,MMM
570,2014-11-18,158.88,160.46,158.85,160.15,2312206.0,MMM
571,2014-11-19,159.33,159.41,157.97,158.83,2314662.0,MMM
572,2014-11-20,158.19,159.55,157.84,159.36,1748983.0,MMM
573,2014-11-21,160.31,160.86,159.59,160.16,2472003.0,MMM
574,2014-11-24,160.16,160.56,159.41,159.88,2358208.0,MMM
575,2014-11-25,159.0,159.68,158.06,158.06,3646343.0,MMM
576,2014-11-26,157.97,158.45,157.5,158.31,1823224.0,MMM
577,2014-11-28,159.58,160.82,158.8,160.09,1565487.0,MMM
578,2014-12-01,158.35,159.5,157.86,158.16,2502120.0,MMM
579,2014-12-02,158.78,160.78,158.54,160.6,2504391.0,MMM
580,2014-12-03,161.1,162.44,160.17,162.26,3040255.0,MMM
581,2014-12-04,162.0,162.92,160.9,162.26,2165107.0,MMM
582,2014-12-05,162.4,162.9,161.88,162.27,1722974.0,MMM
583,2014-12-08,162.1,162.8,160.1,160.93,1905159.0,MMM
584,2014-12-09,159.89,161.1,159.11,160.83,2051810.0,MMM
585,2014-12-10,160.71,160.81,157.7,158.24,3251563.0,MMM
586,2014-12-11,159.18,160.22,158.42,159.15,2437334.0,MMM
587,2014-12-12,158.56,158.99,157.12,157.12,2823193.0,MMM
588,2014-12-15,158.12,158.44,155.59,156.85,2610662.0,MMM
589,2014-12-16,157.26,161.44,157.08,159.05,3383374.0,MMM
590,2014-12-17,159.29,160.89,157.78,160.6,3948875.0,MMM
591,2014-12-18,162.4,165.3,162.0,165.3,3359781.0,MMM
592,2014-12-19,164.78,166.09,164.36,165.48,4891344.0,MMM
593,2014-12-22,166.22,167.3,166.14,167.27,2090886.0,MMM
594,2014-12-23,168.02,168.16,166.87,166.87,2190217.0,MMM
595,2014-12-24,166.17,167.61,166.17,166.96,981961.0,MMM
596,2014-12-26,167.34,167.81,166.15,166.26,1607376.0,MMM
597,2014-12-29,166.3,167.12,165.81,166.71,1218833.0,MMM
598,2014-12-30,166.55,166.74,165.28,165.84,1180680.0,MMM
599,2014-12-31,166.0,167.17,164.2,164.32,1631764.0,MMM
600,2015-01-02,164.71,165.08,162.73,164.06,2117562.0,MMM
601,2015-01-05,163.0,163.64,160.08,160.36,3692901.0,MMM
602,2015-01-06,160.82,161.37,157.74,158.65,3537144.0,MMM
603,2015-01-07,159.9,160.28,158.94,159.8,3081291.0,MMM
604,2015-01-08,160.65,163.69,160.52,163.63,3149592.0,MMM
605,2015-01-09,163.85,164.0,161.27,161.62,2378568.0,MMM
606,2015-01-12,162.39,162.39,160.02,160.74,2149230.0,MMM
607,2015-01-13,162.23,164.38,159.45,160.62,2706698.0,MMM
608,2015-01-14,159.04,160.53,158.5,159.84,1983535.0,MMM
609,2015-01-15,160.89,161.44,159.37,159.66,1881406.0,MMM
610,2015-01-16,159.86,162.18,159.09,162.0,2349676.0,MMM
611,2015-01-20,162.72,163.4,160.06,161.94,2096201.0,MMM
612,2015-01-21,161.66,163.37,161.02,162.54,1597680.0,MMM
613,2015-01-22,163.26,165.99,162.13,165.89,2225819.0,MMM
614,2015-01-23,165.75,165.98,163.91,164.02,2249181.0,MMM
615,2015-01-26,163.62,164.28,161.8,164.24,3556293.0,MMM
616,2015-01-27,162.31,165.14,160.94,163.63,4190749.0,MMM
617,2015-01-28,164.61,166.57,163.76,163.94,3574594.0,MMM
618,2015-01-29,164.07,166.16,162.88,166.13,2674618.0,MMM
619,2015-01-30,164.75,165.22,162.3,162.3,3561892.0,MMM
620,2015-02-02,162.12,164.62,160.89,164.42,2379692.0,MMM
621,2015-02-03,165.17,166.19,164.71,165.94,2604773.0,MMM
622,2015-02-04,165.78,165.83,164.24,164.81,2363803.0,MMM
623,2015-02-05,165.31,166.59,164.75,166.55,2050539.0,MMM
624,2015-02-06,166.23,167.68,165.56,166.07,1826929.0,MMM
625,2015-02-09,164.38,165.54,163.84,164.84,2072981.0,MMM
626,2015-02-10,165.4,166.14,164.6,165.82,1885097.0,MMM
627,2015-02-11,164.52,164.97,163.47,164.48,1695064.0,MMM
628,2015-02-12,164.93,165.95,164.85,165.91,1615661.0,MMM
629,2015-02-13,165.9,166.62,165.33,165.94,1792069.0,MMM
630,2015-02-17,165.94,166.92,165.09,166.92,2100869.0,MMM
631,2015-02-18,166.34,167.51,166.01,167.4,1552002.0,MMM
632,2015-02-19,167.4,167.55,166.58,167.09,1648814.0,MMM
633,2015-02-20,166.74,168.27,165.13,168.12,2416631.0,MMM
634,2015-02-23,168.14,168.87,167.7,168.81,1835977.0,MMM
635,2015-02-24,168.27,169.25,168.07,169.12,1770282.0,MMM
636,2015-02-25,168.97,169.66,168.62,168.89,2019149.0,MMM
637,2015-02-26,168.85,169.98,168.64,169.61,1789370.0,MMM
638,2015-02-27,169.66,169.75,168.56,168.65,1946016.0,MMM
639,2015-03-02,168.16,170.5,168.12,170.5,2223104.0,MMM
640,2015-03-03,169.57,169.6,167.36,168.27,2232425.0,MMM
641,2015-03-04,168.26,168.26,166.46,167.16,1575686.0,MMM
642,2015-03-05,167.21,167.7,166.69,167.57,1547152.0,MMM
643,2015-03-06,166.5,166.77,164.01,164.36,2114438.0,MMM
644,2015-03-09,164.72,166.78,164.51,166.37,1608060.0,MMM
645,2015-03-10,164.81,164.86,162.25,162.26,2564593.0,MMM
646,2015-03-11,162.7,163.22,161.66,161.73,1894304.0,MMM
647,2015-03-12,162.59,164.52,162.57,164.47,1715011.0,MMM
648,2015-03-13,164.02,164.39,161.78,162.74,2284740.0,MMM
649,2015-03-16,163.58,166.27,163.58,166.21,2111173.0,MMM
650,2015-03-17,165.52,165.53,163.38,164.23,2557898.0,MMM
651,2015-03-18,163.16,166.95,162.05,166.47,3062438.0,MMM
652,2015-03-19,166.16,166.21,164.85,165.66,1953456.0,MMM
653,2015-03-20,166.09,167.13,165.39,166.49,4371778.0,MMM
654,2015-03-23,166.83,166.9,165.83,166.13,2157318.0,MMM
655,2015-03-24,165.58,167.65,165.53,166.32,2090967.0,MMM
656,2015-03-25,166.24,166.52,162.66,162.7,2540852.0,MMM
657,2015-03-26,162.0,163.37,161.21,162.59,2050735.0,MMM
658,2015-03-27,162.36,163.9,162.02,163.5,1722661.0,MMM
659,2015-03-30,164.2,166.77,164.2,166.05,1684009.0,MMM
660,2015-03-31,165.41,166.0,164.62,164.95,2081259.0,MMM
661,2015-04-01,164.29,164.54,161.9,162.52,2148057.0,MMM
662,2015-04-02,163.38,163.97,162.12,162.8,1852617.0,MMM
663,2015-04-06,161.66,165.99,161.4,165.48,2560334.0,MMM
664,2015-04-07,165.4,167.57,165.28,166.21,2479510.0,MMM
665,2015-04-08,166.21,167.22,165.21,166.27,1754434.0,MMM
666,2015-04-09,166.25,167.18,165.08,166.79,1680624.0,MMM
667,2015-04-10,167.5,167.7,166.22,167.07,1501941.0,MMM
668,2015-04-13,166.76,167.36,165.6,165.84,1860416.0,MMM
669,2015-04-14,165.32,166.48,164.17,165.99,1915188.0,MMM
670,2015-04-15,166.72,167.34,165.86,166.44,1995871.0,MMM
671,2015-04-16,165.73,166.65,165.1,165.89,1662831.0,MMM
672,2015-04-17,164.53,164.54,161.13,161.71,3063509.0,MMM
673,2015-04-20,163.0,165.39,162.73,164.51,2394237.0,MMM
674,2015-04-21,165.65,165.7,163.62,164.0,1970534.0,MMM
675,2015-04-22,163.81,164.89,162.57,164.67,2228828.0,MMM
676,2015-04-23,159.54,161.45,158.61,159.66,5704517.0,MMM
677,2015-04-24,159.81,159.81,157.85,158.99,3043484.0,MMM
678,2015-04-27,159.48,160.06,157.81,157.98,3448760.0,MMM
679,2015-04-28,157.69,158.36,156.18,158.33,3387920.0,MMM
680,2015-04-29,157.42,157.93,156.18,156.97,3078628.0,MMM
681,2015-04-30,156.82,157.92,156.01,156.39,3510160.0,MMM
